FECHA,PROVINCIA,TIPO_TRANSPORTE,TOTAL_VIAJES
2024-01-12,RÍO NEGRO,COLECTIVO,58040
2024-01-12,SAN JUAN,COLECTIVO,246383
2024-01-12,SAN LUIS,COLECTIVO,45920
2024-01-12,SANTA CRUZ,COLECTIVO,6349
2024-01-12,SANTA FE,COLECTIVO,479234
2024-01-12,SANTIAGO DEL ESTERO,COLECTIVO,850
2024-01-12,TIERRA DEL FUEGO,COLECTIVO,21920
2024-01-13,BUENOS AIRES,COLECTIVO,3554793
2024-01-13,BUENOS AIRES,LANCHAS,2119
2024-01-13,CATAMARCA,COLECTIVO,23833
2024-01-13,CHACO,COLECTIVO,55326
2024-01-13,CHUBUT,COLECTIVO,45755
2024-01-13,CORDOBA,COLECTIVO,1444
2024-01-13,CORRIENTES,COLECTIVO,43976
2024-01-13,ENTRE RÍOS,COLECTIVO,53437
2024-01-13,FORMOSA,COLECTIVO,16276
2024-01-13,JUJUY,COLECTIVO,16426
2024-01-13,LA PAMPA,COLECTIVO,4801
2024-01-13,MENDOZA,COLECTIVO,401185
2024-01-13,NEUQUÉN,COLECTIVO,56593
2024-01-13,RÍO NEGRO,COLECTIVO,42004
2024-01-13,SAN JUAN,COLECTIVO,172276
2024-01-13,SAN LUIS,COLECTIVO,26771
2024-01-13,SANTA CRUZ,COLECTIVO,3729
2024-01-13,SANTA FE,COLECTIVO,299416
2024-01-13,SANTIAGO DEL ESTERO,COLECTIVO,492
2024-01-13,TIERRA DEL FUEGO,COLECTIVO,15181
2024-01-14,BUENOS AIRES,LANCHAS,1245
2024-01-14,BUENOS AIRES,COLECTIVO,1930051
2024-01-14,CATAMARCA,COLECTIVO,13087
2024-01-14,CHACO,COLECTIVO,29940
2024-01-14,CHUBUT,COLECTIVO,23605
2024-01-14,CORDOBA,COLECTIVO,647
2024-01-14,CORRIENTES,COLECTIVO,21600
2024-01-14,ENTRE RÍOS,COLECTIVO,23033
2024-01-14,FORMOSA,COLECTIVO,9381
2024-01-14,JUJUY,COLECTIVO,9425
